"","movie_title","title_year","imdb_score","language","country","budget","gross","num_voted_users","num_critic_for_reviews","director_name","director_facebook_likes","actor_1_name","actor_1_facebook_likes","actor_2_name","actor_2_facebook_likes","actor_3_name","actor_3_facebook_likes","cast_total_facebook_likes","facenumber_in_poster","content_rating","aspect_ratio","color","genres","plot_keywords","movie_imdb_link","hit","profit"
"1","Schindler's List",1993,8.9,"English","USA",22000000,96067179,865020,174,"Steven Spielberg",14000,"Liam Neeson",14000,"Embeth Davidtz",795,"Caroline Goodall",212,15233,0,"R",1.85,"Black and White","Biography|Drama|History","german|german soldier|jew|jewish|nazi","http://www.imdb.com/title/tt0108052/?ref_=fn_tt_tt_1",TRUE,74067179
"2","Saving Private Ryan",1998,8.6,"English","USA",70000000,216119491,881236,219,"Steven Spielberg",14000,"Tom Hanks",15000,"Vin Diesel",14000,"Matt Damon",13000,44998,2,"R",1.85,"Color","Action|Drama|War","army|invasion|killed in action|normandy|soldier","http://www.imdb.com/title/tt0120815/?ref_=fn_tt_tt_1",TRUE,146119491
"3","Raiders of the Lost Ark",1981,8.5,"English","USA",18000000,242374454,661017,234,"Steven Spielberg",14000,"Harrison Ford",11000,"Karen Allen",783,"William Hootkins",488,12906,1,"PG",2.35,"Color","Action|Adventure","archeological dig|archeologist|ark of the covenant|egypt|nazi","http://www.imdb.com/title/tt0082971/?ref_=fn_tt_tt_1",TRUE,224374454
"4","Indiana Jones and the Last Crusade",1989,8.3,"English","USA",48000000,197171806,515306,149,"Steven Spielberg",14000,"Harrison Ford",11000,"Julian Glover",844,"Alison Doody",440,12884,5,"PG-13",2.35,"Color","Action|Adventure|Fantasy","castle|diary|holy grail|map|nazi","http://www.imdb.com/title/tt0097576/?ref_=fn_tt_tt_1",TRUE,149171806
"5","Jurassic Park",1993,8.1,"English","USA",63000000,356784000,613473,308,"Steven Spielberg",14000,"Wayne Knight",967,"Ariana Richards",610,"Bob Peck",191,2129,0,"PG-13",1.85,"Color","Adventure|Sci-Fi|Thriller","dinosaur|jurassic park|survival|theme park|tyrannosaurus rex","http://www.imdb.com/title/tt0107290/?ref_=fn_tt_tt_1",TRUE,293784000
"6","Jaws",1975,8,"English","USA",8000000,260000000,412454,385,"Steven Spielberg",14000,"Roy Scheider",813,"Robert Shaw",559,"Murray Hamilton",366,2047,0,"PG",2.35,"Color","Adventure|Drama|Thriller","beach|blockbuster|fishing|great white shark|shark","http://www.imdb.com/title/tt0073195/?ref_=fn_tt_tt_1",TRUE,252000000
"7","Catch Me If You Can",2002,8,"English","USA",52000000,164435221,525801,194,"Steven Spielberg",14000,"Leonardo DiCaprio",29000,"Tom Hanks",15000,"Jennifer Garner",3000,48153,0,"PG-13",1.85,"Color","Biography|Crime|Drama","attorney|cat and mouse|fbi|pan am|pilot","http://www.imdb.com/title/tt0264464/?ref_=fn_tt_tt_1",TRUE,112435221
"8","E.T. the Extra-Terrestrial",1982,7.9,"English","USA",10500000,434949459,281842,215,"Steven Spielberg",14000,"Henry Thomas",861,"Dee Wallace",725,"Peter Coyote",548,2811,0,"PG",1.85,"Color","Family|Sci-Fi","bicyclist|boy|doll|star wars reference|voice impersonation","http://www.imdb.com/title/tt0083866/?ref_=fn_tt_tt_1",TRUE,424449459
"9","The Color Purple",1985,7.8,"English","USA",15000000,94175854,60988,70,"Steven Spielberg",14000,"Oprah Winfrey",852,"Rae Dawn Chong",581,"Dana Ivey",271,2592,0,"PG-13",1.85,"Color","Drama","book strap|girl|racial discrimination|racial tension|stereotype","http://www.imdb.com/title/tt0088939/?ref_=fn_tt_tt_1",TRUE,79175854
"10","Minority Report",2002,7.7,"English","USA",102000000,132014112,399651,252,"Steven Spielberg",14000,"Tom Cruise",10000,"Frank Grillo",798,"Jessica Capshaw",533,12546,0,"PG-13",2.35,"Color","Action|Mystery|Sci-Fi|Thriller","future|murder|neo noir|washington d.c.|year 2054","http://www.imdb.com/title/tt0181689/?ref_=fn_tt_tt_1",TRUE,30014112
"11","Close Encounters of the Third Kind",1977,7.7,"English","USA",19400870,128300000,139288,171,"Steven Spielberg",14000,"Bob Balaban",559,"Teri Garr",481,"Melinda Dillon",252,1591,0,"PG",2.35,"Color","Drama|Sci-Fi","alien|close encounter of the third kind|mothership|ufo|vision","http://www.imdb.com/title/tt0075860/?ref_=fn_tt_tt_1",TRUE,108899130
"12","Indiana Jones and the Temple of Doom",1984,7.6,"English","USA",28000000,179870271,329969,148,"Steven Spielberg",14000,"Harrison Ford",11000,"Amrish Puri",429,"Kate Capshaw",237,11898,2,"PG",2.35,"Color","Action|Adventure","children|studio logo segues into film|temple|village|white dinner jacket","http://www.imdb.com/title/tt0087469/?ref_=fn_tt_tt_1",TRUE,151870271
"13","Bridge of Spies",2015,7.6,"English","USA",40000000,72306065,178118,459,"Steven Spielberg",14000,"Tom Hanks",15000,"Mark Rylance",535,"Amy Ryan",423,16944,0,"PG-13",2.35,"Color","Drama|History|Thriller","cia|cold war|lawyer|negotiation|spy","http://www.imdb.com/title/tt3682448/?ref_=fn_tt_tt_1",TRUE,32306065
"14","Munich",2005,7.6,"English","France",70000000,47379090,176936,298,"Steven Spielberg",14000,"Ayelet Zurer",745,"Moritz Bleibtreu",486,"Mathieu Amalric",412,2529,0,"R",2.35,"Color","Drama|History|Thriller","arab|black september|israel|jew|munich olympics","http://www.imdb.com/title/tt0408306/?ref_=fn_tt_tt_1",TRUE,-22620910
"15","Lincoln",2012,7.4,"English","USA",65000000,182204440,197412,538,"Steven Spielberg",14000,"Joseph Gordon-Levitt",23000,"Hal Holbrook",826,"Bruce McGill",655,25517,0,"PG-13",2.35,"Color","Biography|Drama|History|War","cultural conflict|politics|president|slavery|u.s. president","http://www.imdb.com/title/tt0443272/?ref_=fn_tt_tt_1",TRUE,117204440
"16","The Adventures of Tintin",2011,7.4,"English","USA",135000000,77564037,177383,440,"Steven Spielberg",14000,"Toby Jones",2000,"Mackenzie Crook",871,"Tony Curran",845,4631,1,"PG",2.35,"Color","Action|Adventure|Family|Mystery","captain|morocco|ship|tintin|treasure","http://www.imdb.com/title/tt0983193/?ref_=fn_tt_tt_1",TRUE,-57435963
"17","The Terminal",2004,7.3,"English","USA",60000000,77032279,303864,151,"Steven Spielberg",14000,"Tom Hanks",15000,"Chi McBride",466,"Barry Shabaka Henley",232,16199,0,"PG-13",1.85,"Color","Comedy|Drama","airport|construction site|fish out of water|flight attendant|man without a country","http://www.imdb.com/title/tt0362227/?ref_=fn_tt_tt_1",TRUE,17032279
"18","War Horse",2011,7.2,"English","USA",66000000,79883359,116159,388,"Steven Spielberg",14000,"Jeremy Irvine",25000,"Benedict Cumberbatch",19000,"Eddie Marsan",979,46726,1,"PG-13",2.35,"Black and White","Drama|War","barbed wire|british|cavalry|horse|world war one","http://www.imdb.com/title/tt1568911/?ref_=fn_tt_tt_1",TRUE,13883359
"19","Amistad",1997,7.2,"English","USA",36000000,44175394,56509,77,"Steven Spielberg",14000,"Anthony Hopkins",12000,"Morgan Freeman",11000,"Matthew McConaughey",11000,37570,2,"R",1.85,"Color","Drama|History","courtroom|mutiny|ship|slave ship|slave trade","http://www.imdb.com/title/tt0118607/?ref_=fn_tt_tt_1",TRUE,8175394
"20","A.I. Artificial Intelligence",2001,7.1,"English","USA",100000000,78616689,238747,281,"Steven Spielberg",14000,"Haley Joel Osment",3000,"William Hurt",882,"Kevin Sussman",681,6217,0,"PG-13",1.85,"Color","Adventure|Drama|Sci-Fi","affection|boy|fairy|future|robot","http://www.imdb.com/title/tt0212720/?ref_=fn_tt_tt_1",TRUE,-21383311
